"Source:","/home/joerg/repos/OpenBLDC/joewa/ChibiESC/hardware/design/DrChibi.sch"
"Date:","Mo 24 Okt 2016 14:15:12 CEST"
"Tool:","Eeschema no-vcs-found-undefined"
"Generator:","/home/joerg/kicad/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","183"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Part Number"
"35","2","R3, Rthwn1","2k2","device:R","Resistors_SMD:R_0402","","","",""
"36","1","R4","0R","device:R","Resistors_SMD:R_0805","","","",""
"37","1","RHFAC1","100R","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"38","6","RY1, RY2, RY3, RY4, RY5, RY6","R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"39","1","RYOFFS1","20k","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"40","1","RYS1","0R/DNP","device:R","Resistors_SMD:R_0603_HandSoldering","","","",""
"41","7","RYSGND1, Rcfilt1, Rcfilt2, Rcfilt3, Rcfilt4, Rcfilt5, Rcfilt6","20k","device:R","Resistors_SMD:R_0402","","","",""
"42","1","Radj1","165R","device:R","Resistors_SMD:R_0402","","","",""
"43","1","Rbatth1","10k","device:R","Resistors_SMD:R_0603","","","",""
"44","1","Rbattl1","1k5","device:R","Resistors_SMD:R_0603","","","",""
"45","1","Rcan1","NI","BLDC_4-rescue:R-RESCUE-BLDC_4","Resistors_SMD:R_0603_HandSoldering","","","",""
"46","6","Rhsens1, Rhsens2, Rhsens3, Rhsens4, Rhsens5, Rhsens6","10k,0.1%","device:R","Capacitors_SMD:C_0603_HandSoldering","","","",""
"47","2","Rled1, Rled2","100R","BLDC_4-rescue:R-RESCUE-BLDC_4","Resistors_SMD:R_0402","","","",""
"48","6","Rlsens1, Rlsens2, Rlsens3, Rlsens4, Rlsens5, Rlsens6","2k2,0.1%","device:R","Resistors_SMD:R_0402","","","",""
"49","1","Rusb1","10k","device:R","Resistors_SMD:R_0402","","","",""
"50","2","Rusb2, Rusb3","22R","BLDC_4-rescue:R-RESCUE-BLDC_4","Resistors_SMD:R_0402","","","",""
"51","1","R3vi1","2R7","device:R","Resistors_SMD:R_0805","","Filter resistor to Has to dissipate 1/4W.","",""
"52","1","U1","STM32F40X_LQFP64","crf_1:STM32F40X_LQFP64","CRF1:lqfp64_pad_mod","","","ST","STM32F405RGTx"
"53","1","U2","ISO1050","crf_1:ISO1050","CRF1:PDSO-G8","","","",""
"54","6","UDrmos1, UDrmos2, UDrmos3, UDrmos4, UDrmos5, UDrmos6","DrMOS_SiC632A","pkl_drmos:DrMOS_SiC632A","DrMOS:MLP55-31L","http://www.vishay.com/docs/62992/sic632a.pdf","","Vishay","SiC632ACD-T1-GE3"
"55","1","Ureg1","LTM8020","pkl_regulator:LTM8020","Regulators_User:Housings_LGA_21_6.25x6.25mm","http://cds.linear.com/docs/en/datasheet/8020fd.pdf","","Linear Technology","LTM8020V"
"56","1","Ureg2","LP2992AIM5-3.3","pkl_misc:LP2992AIM5-3.3","TO_SOT_Packages_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp2992.pdf","","Texas Instruments","LP2992AIM5-3.3/NOPB"
"57","6","Usens1, Usens2, Usens3, Usens4, Usens5, Usens6","ACS711","pkl_sensor:ACS711","Allegro:QFN-12-1EX_3x3mm_Pitch0.5mm","","","Allegro","ACS711KEXLT-31AB-T"
"58","1","X1","MINI-USB-SHIELD-32005-201","crf_1:MINI-USB-SCHIELD-32005-201","CRF1:mini_USB_gnd","","","Cypress Industries","CCMUSBB-32005-201"
"59","1","X2","8MHz 10ppm","DrChibi-rescue:CRYSTAL_SMD-RESCUE-DrChibi","Crystals_User:Crystal_5x3mm","","","","ABM3B-8.0-10-1UT"
