"Source:","/home/joerg/repos/OpenBLDC/joewa/ChibiESC/hardware/design/DrChibi.sch"
"Date:","Mo 24 Okt 2016 14:15:12 CEST"
"Tool:","Eeschema no-vcs-found-undefined"
"Generator:","/home/joerg/kicad/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","183"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Part Number"
"","","Cboot6","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Ccan1","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","Ccan2","2.2u","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Ccfilt1","0.47n","device:C","Capacitors_SMD:C_0402","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"","","Ccfilt2","0.47n","device:C","Capacitors_SMD:C_0402","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"","","Ccfilt3","0.47n","device:C","Capacitors_SMD:C_0402","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"","","Ccfilt4","0.47n","device:C","Capacitors_SMD:C_0402","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"","","Ccfilt5","0.47n","device:C","Capacitors_SMD:C_0402","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"","","Ccfilt6","0.47n","device:C","Capacitors_SMD:C_0402","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"","","Cclk1","18p","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0402","","for the crystal","",""
"","","Cclk2","18p","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0402","","for the crystal","",""
"","","Cmcu1","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","Cmcu2","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","Cmcu3","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
